Code #,Count,Title,HTML address,URL: doc address,Date accessed,Accessed by,Source,Day/Month,Year,Material type,Government Level 1,Government Level 2,Citation,Database name,Database link,Search terms used,Filters applied,Other Notes
851,4859,Statement of Antoine Dixon concerning National Forest Management and its Impacts on Rural Economies and Communities,,https://advance.lexis.com/document/?pdmfid=1000516&crid=0a3caf29-1604-448b-b2ca-da921f2baab4&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A88MN-JFT2-1NTJ-T16C-00000-00&pddocid=urn%3AcontentItem%3A88MN-JFT2-1NTJ-T16C-00000-00&pdcontentcomponentid=130242&pdteaserkey=sr37&ecomp=r89tk&earg=sr37&prid=8848a92e-3f5e-41ba-b04f-91b085790366,3/16/2017,EF,,3/13,2013,Federal agency document,Department of Agriculture,Forest Service,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
852,3580,Statement of Chief Tom Tidwell concerning Challenges and Opportunities for Improving Forest Management on Federal Lands,,https://advance.lexis.com/document/?pdmfid=1000516&crid=ba88f36d-1902-4541-86dd-beee40a4d961&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A88MN-JFT2-1NTJ-T16G-00000-00&pddocid=urn%3AcontentItem%3A88MN-JFT2-1NTJ-T16G-00000-00&pdcontentcomponentid=130242&pdteaserkey=sr38&ecomp=r89tk&earg=sr38&prid=8848a92e-3f5e-41ba-b04f-91b085790366,3/16/2017,EF,,6/25,2013,Federal agency document,Department of Agriculture,Forest Service,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
853,3492,Statement of Mary Wagner concerning Resolution Copper Land Exchange ,,https://advance.lexis.com/document/?pdmfid=1000516&crid=f42be2e5-bb7d-40ab-8346-f44b26294c36&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A88MN-JFT2-1NTJ-T16N-00000-00&pddocid=urn%3AcontentItem%3A88MN-JFT2-1NTJ-T16N-00000-00&pdcontentcomponentid=130242&pdteaserkey=sr39&ecomp=r89tk&earg=sr39&prid=8848a92e-3f5e-41ba-b04f-91b085790366,3/16/2017,EF,,3/21,2013,Federal agency document,Department of Agriculture,Forest Service,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
854,2982,"Statement of Mary Wagner concerning Wildfire, Restoration, Forest Health, Collaborative Forest Landscape Restoration Program, Hazardous Fuels, Road Decommissioning, Thinning, Harvesting, Prescribed Fire, Mechanical Treatment, Woody Biomass",,https://advance.lexis.com/document/?pdmfid=1000516&crid=0b6d4b67-39eb-4860-8038-b6d202c0fe76&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A88MN-JFT2-1NTJ-T163-00000-00&pddocid=urn%3AcontentItem%3A88MN-JFT2-1NTJ-T163-00000-00&pdcontentcomponentid=130242&pdteaserkey=sr40&ecomp=r89tk&earg=sr40&prid=bceff8d7-3d28-47c5-9987-da984ffec6de,3/16/2017,EF,,7/20,2012,Federal agency document,Department of Agriculture,Forest Service,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
855,3214,Statement of Tom Tidwell concerning Land Management: Challenges and Opportunities for Achieving Healtheir National Forest,,https://advance.lexis.com/document/?pdmfid=1000516&crid=448958ce-2241-41bc-bc8a-0401e33d7f3c&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A88MN-JFT2-1NTJ-T15M-00000-00&pddocid=urn%3AcontentItem%3A88MN-JFT2-1NTJ-T15M-00000-00&pdcontentcomponentid=130242&pdteaserkey=sr41&ecomp=r89tk&earg=sr41&prid=bceff8d7-3d28-47c5-9987-da984ffec6de,3/16/2017,EF,,3/27,2012,Federal agency document,Department of Agriculture,Forest Service,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
856,8641,"Colorado Interstate Gas Company, 98 F.E.R.C. P61,070",,https://advance.lexis.com/document/?pdmfid=1000516&crid=946f4475-9bdc-4820-85b7-97a3fb4c19e8&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A451W-MF10-001G-Y4WR-00000-00&pddocid=urn%3AcontentItem%3A451W-MF10-001G-Y4WR-00000-00&pdcontentcomponentid=5330&pdshepid=urn%3AcontentItem%3A7XX3-CWK1-2NSD-K022-00000-00&pdteaserkey=sr42&ecomp=r89tk&earg=sr42&prid=bceff8d7-3d28-47c5-9987-da984ffec6de,3/16/2017,EF,,1/30,2002,Federal agency document,Department of Energy,Federal Energy Regulatory Commission,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
857,619,"United States, Canadian forest officials hold forest health summit",,https://advance.lexis.com/document/?pdmfid=1000516&crid=ff8ee35d-4629-4d47-ad63-ff3e7840be2d&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A88MN-JJC2-1NTJ-T1YR-00000-00&pddocid=urn%3AcontentItem%3A88MN-JJC2-1NTJ-T1YR-00000-00&pdcontentcomponentid=130245&pdteaserkey=sr43&ecomp=r89tk&earg=sr43&prid=bceff8d7-3d28-47c5-9987-da984ffec6de,3/16/2017,EF,,6/28,2012,Federal agency document,Department of Agriculture,Forest Service,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
858,623,US Forest Service Waives Fees for National Get Outdoors Day,,https://advance.lexis.com/document/?pdmfid=1000516&crid=ceec6efe-0ca2-4729-8b97-d14a32358eaa&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A88MN-JJC2-1NTJ-T1YP-00000-00&pddocid=urn%3AcontentItem%3A88MN-JJC2-1NTJ-T1YP-00000-00&pdcontentcomponentid=130245&pdteaserkey=sr45&ecomp=r89tk&earg=sr45&prid=bceff8d7-3d28-47c5-9987-da984ffec6de,3/16/2017,EF,,6/5,2012,Federal agency document,Department of Agriculture,Forest Service,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
859,2440,"A Crossroads of Concerns: Climate Change, Water, and Kids",,https://advance.lexis.com/document/?pdmfid=1000516&crid=18982fc6-a9a6-456a-bb46-1d552622c7e3&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A88MN-JJC2-1NTJ-T1BS-00000-00&pddocid=urn%3AcontentItem%3A88MN-JJC2-1NTJ-T1BS-00000-00&pdcontentcomponentid=130244&pdteaserkey=sr46&ecomp=r89tk&earg=sr46&prid=bceff8d7-3d28-47c5-9987-da984ffec6de,3/16/2017,EF,,3/2,2008,Federal agency document,Department of Agriculture,Forest Service,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
860,720,Agriculture Secretary Vilsack Announces National Forest Stimulus Projects To Protect Public From Wildland Fires,,https://advance.lexis.com/document/?pdmfid=1000516&crid=18929c2c-81fe-49a9-9dd3-ccf12aa98041&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A8DNV-SRF2-H9Y9-Y46M-00000-00&pddocid=urn%3AcontentItem%3A8DNV-SRF2-H9Y9-Y46M-00000-00&pdcontentcomponentid=156922&pdteaserkey=sr47&ecomp=r89tk&earg=sr47&prid=bceff8d7-3d28-47c5-9987-da984ffec6de,3/16/2017,EF,,3/16,2009,Federal agency document,Department of Agriculture,,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
861,2928,America's Wilderness: A Proud Heritage,,https://advance.lexis.com/document/?pdmfid=1000516&crid=6fdc68a9-28bd-4c17-8c52-069176ea4daf&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A8GPK-C962-H9Y9-Y12C-00000-00&pddocid=urn%3AcontentItem%3A8GPK-C962-H9Y9-Y12C-00000-00&pdcontentcomponentid=130244&pdteaserkey=sr48&ecomp=r89tk&earg=sr48&prid=bceff8d7-3d28-47c5-9987-da984ffec6de,3/16/2017,EF,,10/20,2014,Federal agency document,Department of Agriculture,Forest Service,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
862,1644,An Exemplary Conservation Partnership,,https://advance.lexis.com/document/?pdmfid=1000516&crid=386bd088-886a-412b-808a-f6556ed43872&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A8GPK-C962-H9Y9-Y12P-00000-00&pddocid=urn%3AcontentItem%3A8GPK-C962-H9Y9-Y12P-00000-00&pdcontentcomponentid=130244&pdteaserkey=sr49&ecomp=r89tk&earg=sr49&prid=bceff8d7-3d28-47c5-9987-da984ffec6de,3/16/2017,EF,,2/15,2013,Federal agency document,Department of Agriculture,Forest Service,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
863,1427,A Partnership for the Future,,https://advance.lexis.com/document/?pdmfid=1000516&crid=107fcdd0-115f-4167-8902-19df2d1fd9de&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A8GPK-C962-H9Y9-Y131-00000-00&pddocid=urn%3AcontentItem%3A8GPK-C962-H9Y9-Y131-00000-00&pdcontentcomponentid=130244&pdteaserkey=sr50&ecomp=r89tk&earg=sr50&prid=eedec457-50dd-4ac2-a3d5-404a0552ece7,3/16/2017,EF,,2/14,2013,Federal agency document,Department of Agriculture,Forest Service,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
864,3800,A Partnership for Urban Forestry,,https://advance.lexis.com/document/?pdmfid=1000516&crid=61f1c8b9-0e36-48f4-a7c8-07a44184befd&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A88MN-JJC2-1NTJ-T1DT-00000-00&pddocid=urn%3AcontentItem%3A88MN-JJC2-1NTJ-T1DT-00000-00&pdcontentcomponentid=130244&pdteaserkey=sr51&ecomp=r89tk&earg=sr51&prid=eedec457-50dd-4ac2-a3d5-404a0552ece7,3/16/2017,EF,,3/10,2011,Federal agency document,Department of Agriculture,Forest Service,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
865,398996,"Brief of Position of Columbia River Inter-Tribal Fish Comm. Under CP06-365, et al",,https://advance.lexis.com/document/?pdmfid=1000516&crid=23c71f24-e5ef-453b-b555-26208524a86c&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A8CR5-PPY2-CXDC-N07W-00000-00&pddocid=urn%3AcontentItem%3A8CR5-PPY2-CXDC-N07W-00000-00&pdcontentcomponentid=149520&pdteaserkey=sr52&ecomp=r89tk&earg=sr52&prid=eedec457-50dd-4ac2-a3d5-404a0552ece7,3/16/2017,EF,,12/21,2007,Federal agency document,Department of Energy,Federal Energy Regulatory Commission,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
866,3939,Capitol Christmas Tree: A Partnership Model,,https://advance.lexis.com/document/?pdmfid=1000516&crid=94593e77-a65f-43d6-9dfc-2300ab6cbf09&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A88MN-JJC2-1NTJ-T1DP-00000-00&pddocid=urn%3AcontentItem%3A88MN-JJC2-1NTJ-T1DP-00000-00&pdcontentcomponentid=130244&pdteaserkey=sr53&ecomp=r89tk&earg=sr53&prid=eedec457-50dd-4ac2-a3d5-404a0552ece7,3/16/2017,EF,,12/7,2010,Federal agency document,Department of Agriculture,Forest Service,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
867,841,Chief Tidwell Statement on San Gabriel Mountains National Monument Declaration,,https://advance.lexis.com/document/?pdmfid=1000516&crid=76d26a6c-4946-4058-bb8d-e8eebc082f41&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A8GS3-5MG2-H9Y9-Y31S-00000-00&pddocid=urn%3AcontentItem%3A8GS3-5MG2-H9Y9-Y31S-00000-00&pdcontentcomponentid=130245&pdteaserkey=sr54&ecomp=r89tk&earg=sr54&prid=eedec457-50dd-4ac2-a3d5-404a0552ece7,3/16/2017,EF,,10/10,2014,Federal agency document,Department of Agriculture,,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
868,3343,"Climate Change, Water, and Kids: Three Areas of Mutual Concern",,https://advance.lexis.com/document/?pdmfid=1000516&crid=3be63a3f-ceff-4484-b55f-2396066e3c4d&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A88MN-JJC2-1NTJ-T1BW-00000-00&pddocid=urn%3AcontentItem%3A88MN-JJC2-1NTJ-T1BW-00000-00&pdcontentcomponentid=130244&pdteaserkey=sr55&ecomp=r89tk&earg=sr55&prid=eedec457-50dd-4ac2-a3d5-404a0552ece7,3/16/2017,EF,,5/29,2008,Federal agency document,Department of Agriculture,Forest Service,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
869,849,Colorado projects to help reduce risk to water supplies from wildland fires,,https://advance.lexis.com/document/?pdmfid=1000516&crid=ef858d62-f51a-4bc3-93e6-bffd8f6d9b5f&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A8GS3-5MG2-H9Y9-Y31T-00000-00&pddocid=urn%3AcontentItem%3A8GS3-5MG2-H9Y9-Y31T-00000-00&pdcontentcomponentid=130245&pdteaserkey=sr56&ecomp=r89tk&earg=sr56&prid=eedec457-50dd-4ac2-a3d5-404a0552ece7,3/16/2017,EF,,7/25,2014,Federal agency document,Department of Agriculture,Forest Service,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
870,59421,Conditions of Competition in the U.S. Market for Wood Structural Building Components,,https://advance.lexis.com/document/?pdmfid=1000516&crid=daba4f5f-5580-49d2-af2e-6d567b3f63d2&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A8C0H-61N2-CXDC-N1F8-00000-00&pddocid=urn%3AcontentItem%3A8C0H-61N2-CXDC-N1F8-00000-00&pdcontentcomponentid=143101&pdteaserkey=sr57&ecomp=r89tk&earg=sr57&prid=eedec457-50dd-4ac2-a3d5-404a0552ece7,3/16/2017,EF,,4,2003,Federal agency document,U.S. International Trade Commission,,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
871,908,Deputy Secretary Connor Announces Additional Funding for Colorado Projectss Designed to Reduce Risk to Local Water Supplies from Wildland Fires,,https://advance.lexis.com/document/?pdmfid=1000516&crid=07dda528-5921-480a-b103-22df6762fa48&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A8C65-5XF2-H9Y9-Y18S-00000-00&pddocid=urn%3AcontentItem%3A8C65-5XF2-H9Y9-Y18S-00000-00&pdcontentcomponentid=129440&pdteaserkey=sr58&ecomp=r89tk&earg=sr58&prid=eedec457-50dd-4ac2-a3d5-404a0552ece7,3/16/2017,EF,,7/24,2014,Federal agency document,Department of the Interior,,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
872,3536,"DIVERSIFIED HOUSE LOGS, INC, Appellant, 93-3 B.C.A. (CCH)",,https://advance.lexis.com/document/?pdmfid=1000516&crid=ae6dc56f-33ee-42ce-a0f8-50db7fd3ef31&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A3RT8-7M50-001D-G17W-00000-00&pddocid=urn%3AcontentItem%3A3RT8-7M50-001D-G17W-00000-00&pdcontentcomponentid=9514&pdshepid=urn%3AcontentItem%3A5C1X-MS41-J9X5-T4CC-00000-00&pdteaserkey=sr59&ecomp=r89tk&earg=sr59&prid=eedec457-50dd-4ac2-a3d5-404a0552ece7,3/16/2017,EF,,4/16,1993,Federal agency document,General Services Administration,Department of Agriculture Board of Contract Appeals,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
873,27084,"Fall River Rural Electric Cooperative, Inc. Rocky Mountain Hydro, Inc. 45 F.E.R.C. P62,041",,https://advance.lexis.com/document/?pdmfid=1000516&crid=0376f1f9-7b7f-47cc-8b0b-7d095c1ccfe6&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A3T1N-54N0-001G-Y13S-00000-00&pddocid=urn%3AcontentItem%3A3T1N-54N0-001G-Y13S-00000-00&pdcontentcomponentid=5330&pdshepid=urn%3AcontentItem%3A7XXT-6HH1-2NSD-M183-00000-00&pdteaserkey=sr60&ecomp=r89tk&earg=sr60&prid=3519eb21-d4c0-4831-8585-9fc806179f5a,3/16/2017,EF,,10/19,1988,Federal agency document,Department of Energy,Federal Energy Regulatory Commission,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
874,24249,"FEDERAL LAND MANAGEMENT, GAO-09-23",,https://advance.lexis.com/document/?pdmfid=1000516&crid=94ccd394-f4a0-4e1c-8573-ad0d3595898f&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A4V1T-MPK0-006N-K09C-00000-00&pddocid=urn%3AcontentItem%3A4V1T-MPK0-006N-K09C-00000-00&pdcontentcomponentid=151193&pdteaserkey=sr61&ecomp=r89tk&earg=sr61&prid=3519eb21-d4c0-4831-8585-9fc806179f5a,3/16/2017,EF,,11/13,2008,GAO Document,GAO,,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
875,17236,"FEDERAL LAND MANAGEMENT, GAO-09-277",,https://advance.lexis.com/document/?pdmfid=1000516&crid=8cb2a9e0-0e01-449b-90bf-3fbc2dae5a50&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A4W13-V280-006N-K0HD-00000-00&pddocid=urn%3AcontentItem%3A4W13-V280-006N-K0HD-00000-00&pdcontentcomponentid=151193&pdteaserkey=sr62&ecomp=r89tk&earg=sr62&prid=3519eb21-d4c0-4831-8585-9fc806179f5a,3/16/2017,EF,,2/25,2009,GAO Document,GAO,,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
876,1404,Forest Service announces $3.5 million to support community forests,,https://advance.lexis.com/document/?pdmfid=1000516&crid=18a05a7b-a59c-454a-ac75-2902a4c64858&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A88MN-JJC2-1NTJ-T205-00000-00&pddocid=urn%3AcontentItem%3A88MN-JJC2-1NTJ-T205-00000-00&pdcontentcomponentid=130245&pdteaserkey=sr63&ecomp=r89tk&earg=sr63&prid=3519eb21-d4c0-4831-8585-9fc806179f5a,3/16/2017,EF,,8/28,2012,Federal agency document,Department of Agriculture,Forest Service,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
877,121601,"he Year in Trade 2012 Operation of the Trade Agreements Program 64th Report, 2013 ITC LEXIS 2031",,https://advance.lexis.com/document/?pdmfid=1000516&crid=427d2df6-9f4b-4b40-9638-b822b08b1c5e&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A5J10-7XN0-014D-B2JG-00000-00&pddocid=urn%3AcontentItem%3A5J10-7XN0-014D-B2JG-00000-00&pdcontentcomponentid=6769&pdteaserkey=sr64&ecomp=r89tk&earg=sr64&prid=3519eb21-d4c0-4831-8585-9fc806179f5a,3/16/2017,EF,,7,2013,Federal agency document,U.S. International Trade Commission,,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
878,2748,"JOSEPH L. STEPHAN, 70-2 B.C.A. (CCH) P8413, 1970 AGBCA LEXIS 9",,https://advance.lexis.com/document/?pdmfid=1000516&crid=2ed9f971-76da-4b0c-b0c2-82e8b9dab3d0&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A3SBX-G0H0-0007-7025-00000-00&pddocid=urn%3AcontentItem%3A3SBX-G0H0-0007-7025-00000-00&pdcontentcomponentid=9514&pdshepid=urn%3AcontentItem%3A598H-YDW1-DXC7-J09K-00000-00&pdteaserkey=sr65&ecomp=r89tk&earg=sr65&prid=3519eb21-d4c0-4831-8585-9fc806179f5a,3/16/2017,EF,,7/31,1970,Federal agency document,General Services Administration,Department of Agriculture Board of Contract Appeals,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
879,4030,Protecting America's Wilderness Heritage,,https://advance.lexis.com/document/?pdmfid=1000516&crid=02aaeaa3-9753-4df5-b27c-3645a6c21f10&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A8GPK-C962-H9Y9-Y134-00000-00&pddocid=urn%3AcontentItem%3A8GPK-C962-H9Y9-Y134-00000-00&pdcontentcomponentid=130244&pdteaserkey=sr66&ecomp=r89tk&earg=sr66&prid=3519eb21-d4c0-4831-8585-9fc806179f5a,3/16/2017,EF,,3/4,2014,Federal agency document,Department of Agriculture,Forest Service,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
880,3822,"Public Service Company of Colorado, 139 F.E.R.C. P61,223",,https://advance.lexis.com/document/?pdmfid=1000516&crid=ebbdb7f1-42b9-4eff-902c-4295dea5dff7&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A55XN-M6G0-01KR-D2BY-00000-00&pddocid=urn%3AcontentItem%3A55XN-M6G0-01KR-D2BY-00000-00&pdcontentcomponentid=5330&pdshepid=urn%3AcontentItem%3A55XX-PW31-DXC8-754R-00000-00&pdteaserkey=sr67&ecomp=r89tk&earg=sr67&prid=3519eb21-d4c0-4831-8585-9fc806179f5a,3/16/2017,EF,,6/19,2012,Federal agency document,Department of Energy,Federal Energy Regulatory Commission,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
881,275165,"Public Utility District #1 of Chelan County, WA's et al CD containing an Application for Approval of Rock Island Anadromous Fish Agreement & Habitat Conservation Plan etc under P-943. Directory-E:Attachment",,https://advance.lexis.com/document/?pdmfid=1000516&crid=e08bc48f-f99c-4361-9f7f-4fa5c43a8b94&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A8CR5-PYD2-H9Y9-Y2C5-00000-00&pddocid=urn%3AcontentItem%3A8CR5-PYD2-H9Y9-Y2C5-00000-00&pdcontentcomponentid=149540&pdteaserkey=sr68&ecomp=r89tk&earg=sr68&prid=3519eb21-d4c0-4831-8585-9fc806179f5a,3/16/2017,EF,,11/24,2003,Federal agency document,Department of Energy,Federal Energy Regulatory Commission,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
882,273847,"Public Utility District 1 of Chelan County, Washington's et al CD containing their application for approval of the Rock Island Anadromous Fish Agreement and Habitat Conservation Plan etc under P-2145. Directory: E:Attachment A - Habitat Conservation Plan",,https://advance.lexis.com/document/?pdmfid=1000516&crid=18824f19-4333-4721-b9a8-6ba010f0c5cb&pddocfullpath=%2Fshared%2Fdocument%2Fadministrative-materials%2Furn%3AcontentItem%3A8CR5-R0G2-CXDC-N1WP-00000-00&pddocid=urn%3AcontentItem%3A8CR5-R0G2-CXDC-N1WP-00000-00&pdcontentcomponentid=149540&pdteaserkey=sr70&ecomp=r89tk&earg=sr70&prid=be2d974b-a0a0-4d5b-8a1f-e4ef3a42fdc9,3/16/2017,EF,,11/24,2003,Federal agency document,Department of Energy,Federal Energy Regulatory Commission,,Lexis Advance Research,https://advance.lexis.com/,"""mountain pine beetle""","Jurisdiction: ""All Federal"", Content type: ""Statutes and legislation"", ""Administrative materials"", ""Administrative codes and regulations"", ""Legal news""",
